iter	Passed	Remaining
0	137	137765
1	138	69233
2	139	46352
3	140	34925
4	141	28060
5	141	23495
6	142	20237
7	143	17787
8	144	15880
9	145	14356
10	145	13108
11	146	12067
12	147	11198
13	148	10440
14	148	9784
15	149	9211
16	150	8712
17	151	8268
18	152	7868
19	153	7511
20	154	7188
21	154	6888
22	155	6615
23	156	6363
24	157	6150
25	158	5936
26	159	5734
27	159	5546
28	160	5372
29	161	5210
30	161	5059
31	162	4919
32	163	4785
33	164	4660
34	164	4540
35	165	4427
36	166	4322
37	166	4225
38	168	4144
39	168	4053
40	169	3966
41	170	3886
42	171	3808
43	171	3733
44	172	3661
45	173	3595
46	174	3529
47	174	3465
48	175	3405
49	176	3345
50	176	3291
51	177	3237
52	178	3185
53	178	3135
54	179	3087
55	180	3042
56	181	2998
57	182	2964
58	183	2923
59	183	2882
60	184	2843
61	185	2805
62	186	2768
63	186	2731
64	187	2697
65	188	2662
66	188	2629
67	189	2598
68	190	2567
69	191	2538
70	191	2508
71	192	2480
72	193	2452
73	193	2425
74	194	2398
75	195	2374
76	196	2350
77	196	2326
78	197	2302
79	198	2279
80	198	2256
81	199	2235
82	200	2209
83	200	2188
84	201	2168
85	202	2148
86	202	2128
87	203	2109
88	204	2090
89	205	2073
90	205	2055
91	206	2037
92	207	2020
93	207	2003
94	208	1986
95	209	1970
96	209	1954
97	210	1938
98	211	1925
99	212	1910
100	213	1896
101	213	1882
102	214	1868
103	215	1855
104	216	1842
105	216	1829
106	217	1816
107	218	1803
108	219	1791
109	220	1781
110	220	1769
111	221	1757
112	222	1745
113	223	1733
114	223	1722
115	224	1711
116	225	1699
117	225	1688
118	226	1678
119	227	1667
120	228	1657
121	228	1647
122	229	1638
123	230	1629
124	231	1619
125	232	1610
126	232	1600
127	233	1591
128	234	1583
129	235	1574
130	235	1565
131	236	1556
132	237	1547
133	238	1538
134	238	1530
135	239	1522
136	240	1514
137	241	1506
138	241	1498
139	242	1490
140	243	1483
141	243	1473
142	244	1466
143	245	1459
144	246	1451
145	246	1444
146	247	1437
147	248	1429
148	249	1422
149	249	1415
150	250	1408
151	251	1401
152	251	1395
153	252	1388
154	253	1381
155	254	1375
156	254	1369
157	255	1362
158	256	1356
159	257	1350
160	257	1343
161	258	1337
162	259	1330
163	259	1324
164	260	1318
165	261	1313
166	262	1308
167	263	1303
168	263	1297
169	264	1292
170	265	1286
171	266	1281
172	266	1275
173	267	1270
174	268	1265
175	269	1260
176	269	1255
177	271	1251
178	272	1250
179	273	1247
180	275	1244
181	275	1239
182	276	1235
183	277	1231
184	278	1229
185	280	1226
186	281	1221
187	282	1218
188	283	1214
189	283	1210
190	284	1205
191	285	1202
192	286	1197
193	287	1193
194	288	1189
195	289	1185
196	289	1181
197	290	1177
198	291	1173
199	292	1170
200	293	1165
201	294	1161
202	294	1157
203	295	1153
204	296	1149
205	297	1145
206	297	1141
207	298	1137
208	299	1133
209	300	1130
210	301	1126
211	302	1123
212	302	1119
213	303	1115
214	304	1111
215	305	1108
216	306	1104
217	306	1100
218	307	1096
219	308	1093
220	309	1089
221	309	1085
222	310	1082
223	311	1078
224	312	1074
225	312	1071
226	313	1068
227	314	1064
228	315	1061
229	316	1058
230	316	1055
231	318	1054
232	319	1050
233	319	1047
234	320	1044
235	321	1040
236	322	1037
237	323	1034
238	323	1031
239	324	1027
240	325	1024
241	326	1021
242	327	1018
243	327	1015
244	328	1012
245	329	1009
246	330	1007
247	331	1004
248	332	1001
249	332	998
250	333	995
251	334	992
252	335	989
253	336	986
254	337	984
255	337	982
256	338	979
257	339	976
258	340	973
259	341	970
260	341	968
261	342	965
262	343	962
263	344	960
264	345	957
265	346	955
266	347	953
267	348	951
268	349	948
269	350	946
270	350	943
271	351	941
272	352	938
273	353	936
274	354	933
275	355	931
276	355	929
277	356	926
278	357	924
279	358	921
280	359	919
281	359	916
282	360	913
283	361	911
284	362	909
285	364	908
286	364	906
287	365	903
288	366	901
289	367	898
290	367	896
291	368	893
292	369	891
293	370	888
294	370	886
295	371	884
296	372	881
297	373	879
298	374	877
299	375	875
300	375	872
301	377	871
302	378	869
303	379	867
304	379	865
305	380	863
306	381	861
307	382	859
308	383	856
309	383	854
310	384	852
311	385	850
312	386	848
313	387	845
314	388	843
315	389	842
316	389	839
317	390	837
318	391	836
319	392	834
320	393	832
321	394	831
322	395	829
323	396	827
324	397	825
325	398	823
326	399	821
327	399	819
328	400	817
329	401	814
330	402	812
331	403	811
332	403	809
333	404	807
334	405	805
335	406	803
336	407	801
337	408	799
338	409	798
339	410	796
340	410	794
341	411	792
342	412	790
343	413	788
344	414	786
345	415	784
346	415	782
347	416	780
348	417	778
349	418	776
350	419	775
351	420	773
352	420	771
353	421	769
354	422	768
355	423	766
356	424	764
357	425	762
358	426	760
359	427	759
360	428	758
361	429	756
362	429	754
363	430	752
364	431	751
365	432	749
366	433	748
367	434	746
368	435	744
369	435	742
370	436	740
371	437	738
372	438	736
373	439	735
374	440	733
375	441	732
376	442	730
377	443	729
378	443	727
379	444	725
380	445	723
381	446	722
382	447	720
383	448	719
384	449	717
385	450	715
386	450	714
387	452	713
388	453	711
389	454	710
390	454	708
391	455	706
392	456	705
393	457	704
394	458	702
395	459	700
396	460	699
397	461	697
398	462	695
399	462	694
400	463	692
401	464	690
402	465	689
403	465	687
404	466	686
405	467	684
406	468	682
407	469	680
408	470	679
409	470	677
410	471	676
411	472	674
412	473	672
413	474	671
414	475	670
415	476	668
416	476	666
417	477	664
418	478	663
419	478	661
420	479	659
421	480	658
422	481	656
423	482	654
424	482	653
425	483	651
426	484	650
427	485	648
428	485	646
429	486	645
430	487	644
431	488	642
432	489	641
433	490	639
434	491	638
435	492	636
436	492	634
437	493	633
438	494	631
439	495	630
440	495	628
441	496	627
442	497	625
443	498	624
444	499	622
445	500	621
446	500	619
447	501	618
448	502	616
449	503	615
450	504	613
451	504	612
452	505	610
453	506	609
454	507	607
455	507	605
456	508	604
457	509	602
458	510	601
459	511	599
460	511	598
461	512	597
462	513	595
463	514	594
464	515	592
465	515	590
466	516	589
467	517	588
468	518	587
469	519	585
470	520	584
471	520	582
472	521	581
473	522	579
474	523	578
475	523	576
476	524	575
477	525	573
478	526	572
479	527	570
480	527	569
481	528	568
482	529	566
483	530	565
484	531	564
485	532	562
486	533	561
487	534	560
488	534	558
489	535	557
490	536	556
491	537	554
492	538	553
493	539	552
494	540	550
495	540	549
496	541	548
497	542	546
498	543	545
499	544	544
500	544	542
501	545	541
502	547	540
503	548	539
504	548	538
505	549	536
506	550	535
507	551	533
508	552	532
509	552	531
510	553	529
511	554	528
512	555	527
513	556	525
514	556	524
515	557	523
516	558	521
517	559	520
518	560	519
519	561	518
520	562	516
521	562	515
522	563	514
523	564	512
524	565	511
525	566	510
526	567	509
527	568	507
528	569	506
529	569	505
530	570	503
531	571	502
532	572	501
533	572	500
534	573	498
535	574	497
536	575	496
537	576	495
538	577	493
539	578	492
540	579	491
541	579	489
542	580	488
543	581	487
544	582	485
545	582	484
546	583	483
547	584	482
548	585	480
549	586	479
550	586	478
551	587	476
552	588	475
553	589	474
554	590	473
555	591	472
556	592	471
557	593	470
558	594	469
559	596	468
560	597	467
561	598	466
562	600	465
563	601	464
564	602	464
565	603	463
566	605	462
567	606	461
568	607	460
569	608	459
570	609	457
571	610	456
572	611	455
573	612	454
574	614	454
575	615	453
576	616	452
577	618	451
578	619	450
579	621	449
580	622	448
581	623	447
582	624	446
583	626	446
584	627	445
585	628	443
586	629	442
587	630	441
588	630	440
589	631	438
590	632	437
591	633	436
592	634	435
593	635	434
594	636	433
595	637	431
596	638	431
597	639	429
598	640	428
599	641	427
600	642	426
601	643	425
602	644	424
603	645	423
604	646	422
605	647	420
606	648	419
607	649	418
608	650	417
609	651	416
610	652	415
611	653	414
612	654	412
613	654	411
614	655	410
615	656	409
616	657	408
617	658	406
618	659	405
619	659	404
620	660	403
621	661	402
622	662	400
623	663	399
624	664	398
625	665	397
626	666	396
627	666	395
628	667	393
629	668	392
630	669	391
631	670	390
632	671	389
633	672	388
634	672	386
635	673	385
636	674	384
637	675	383
638	676	381
639	677	380
640	677	379
641	678	378
642	679	377
643	680	376
644	681	375
645	682	373
646	683	372
647	684	371
648	685	370
649	686	369
650	687	368
651	688	367
652	689	366
653	689	364
654	690	363
655	691	362
656	692	361
657	692	360
658	693	359
659	694	357
660	695	356
661	696	355
662	696	354
663	697	353
664	698	351
665	699	350
666	700	349
667	700	348
668	701	347
669	702	345
670	703	344
671	703	343
672	704	342
673	705	341
674	706	339
675	706	338
676	707	337
677	708	336
678	709	335
679	709	334
680	710	332
681	711	331
682	712	330
683	713	329
684	713	328
685	714	327
686	715	326
687	716	325
688	717	323
689	718	322
690	719	321
691	719	320
692	720	319
693	721	318
694	722	316
695	722	315
696	723	314
697	724	313
698	725	312
699	726	311
700	726	310
701	727	308
702	728	307
703	729	306
704	730	305
705	731	304
706	732	303
707	733	302
708	734	301
709	734	300
710	735	299
711	736	297
712	737	296
713	738	295
714	738	294
715	739	293
716	740	292
717	741	291
718	742	290
719	743	289
720	744	287
721	744	286
722	745	285
723	746	284
724	747	283
725	747	282
726	748	281
727	749	280
728	750	279
729	751	277
730	752	276
731	752	275
732	753	274
733	754	273
734	755	272
735	756	271
736	757	270
737	758	269
738	758	267
739	759	266
740	760	265
741	761	264
742	762	263
743	762	262
744	763	261
745	764	260
746	765	259
747	766	258
748	767	257
749	767	255
750	768	254
751	769	253
752	770	252
753	771	251
754	771	250
755	772	249
756	773	248
757	774	247
758	775	246
759	776	245
760	777	244
761	777	242
762	778	241
763	779	240
764	780	239
765	781	238
766	781	237
767	782	236
768	783	235
769	784	234
770	785	233
771	786	232
772	787	231
773	788	230
774	789	229
775	790	228
776	791	227
777	791	225
778	792	224
779	793	223
780	794	222
781	795	221
782	795	220
783	796	219
784	797	218
785	798	217
786	799	216
787	800	215
788	801	214
789	802	213
790	802	212
791	803	211
792	804	210
793	805	208
794	806	207
795	807	206
796	807	205
797	808	204
798	809	203
799	810	202
800	810	201
801	811	200
802	812	199
803	812	198
804	813	197
805	814	196
806	815	195
807	816	194
808	817	192
809	818	191
810	819	190
811	819	189
812	820	188
813	821	187
814	822	186
815	823	185
816	824	184
817	824	183
818	825	182
819	826	181
820	827	180
821	827	179
822	828	178
823	829	177
824	831	176
825	832	175
826	833	174
827	834	173
828	835	172
829	835	171
830	836	170
831	837	169
832	838	168
833	839	167
834	840	166
835	840	164
836	841	163
837	842	162
838	843	161
839	843	160
840	844	159
841	845	158
842	846	157
843	847	156
844	848	155
845	849	154
846	849	153
847	850	152
848	851	151
849	852	150
850	853	149
851	853	148
852	854	147
853	855	146
854	856	145
855	857	144
856	857	143
857	858	142
858	860	141
859	861	140
860	861	139
861	862	138
862	863	137
863	864	136
864	864	134
865	865	133
866	866	132
867	867	131
868	868	130
869	869	129
870	869	128
871	870	127
872	871	126
873	872	125
874	873	124
875	873	123
876	874	122
877	875	121
878	876	120
879	877	119
880	877	118
881	878	117
882	880	116
883	881	115
884	882	114
885	882	113
886	883	112
887	884	111
888	885	110
889	886	109
890	887	108
891	888	107
