iter	Passed	Remaining
0	1	169
1	2	130
2	3	106
3	3	95
4	4	93
5	5	88
6	6	86
7	7	83
8	7	80
9	8	77
10	9	75
11	10	77
12	11	76
13	12	78
14	13	77
15	14	76
16	15	73
17	15	72
18	16	70
19	17	69
20	18	68
21	18	66
22	19	64
23	20	63
24	20	62
25	21	61
26	22	61
27	23	59
28	24	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	30	46
40	31	44
41	31	43
42	32	42
43	32	41
44	33	40
45	33	39
46	34	38
47	34	37
48	35	36
49	35	35
50	36	34
51	36	33
52	37	32
53	37	32
54	38	31
55	38	30
56	39	29
57	39	28
58	40	27
59	40	27
60	41	26
61	41	25
62	42	24
63	42	23
64	43	23
65	43	22
66	44	21
67	44	21
68	45	20
69	45	19
70	46	18
71	46	18
72	47	17
73	47	16
74	48	16
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	53	8
87	54	7
88	54	6
89	55	6
90	55	5
91	56	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
